log_mass_to_light_ratio,log_Omega,log_prob
-0.33061224,1.148653,-18224.27
-0.30612245,1.148653,-17405.71
-0.28163266,1.148653,-16520.383
-0.25714287,1.148653,-15770.092
-0.23265307,1.148653,-15073.463
-0.20816326,1.148653,-14511.33
-0.18367347,1.148653,-14036.414
-0.15918367,1.148653,-13942.492
-0.13469388,1.148653,-14037.293
-0.11020408,1.148653,-14450.112
-0.08571429,1.148653,-15209.162
-0.06122449,1.148653,-16420.09
-0.036734693,1.148653,-18164.176
-0.012244898,1.148653,-20695.621
0.012244898,1.148653,-23870.219
0.036734693,1.148653,-27670.307
0.06122449,1.148653,-32710.822
0.08571429,1.148653,-38812.69
0.11020408,1.148653,-46048.855
0.13469388,1.148653,-54607.65
0.15918367,1.148653,-64758.05
0.18367347,1.148653,-76767.91
0.20816326,1.148653,-90230.52
0.23265307,1.148653,-105887.15
0.25714287,1.148653,-123386.805
0.28163266,1.148653,-142696.95
0.30612245,1.148653,-164277.86
0.33061224,1.148653,-187946.75
0.35510203,1.148653,-213829.12
0.37959182,1.148653,-241485.58
0.40408164,1.148653,-270836.3
0.42857143,1.148653,-302129.47
0.45306122,1.148653,-335809.56
0.477551,1.148653,-369980.84
0.5020408,1.148653,-406335.2
0.5265306,1.148653,-446021.38
0.5510204,1.148653,-487398.62
0.5755102,1.148653,-531342.0
0.6,1.148653,-576408.6
-0.6,1.1731268,-27577.402
-0.5755102,1.1731268,-26471.795
-0.5510204,1.1731268,-25636.213
-0.5265306,1.1731268,-24731.666
-0.5020408,1.1731268,-23829.06
-0.477551,1.1731268,-22948.848
-0.45306122,1.1731268,-21930.541
-0.42857143,1.1731268,-20942.207
-0.40408164,1.1731268,-20031.738
-0.37959182,1.1731268,-19019.098
-0.35510203,1.1731268,-18051.832
-0.33061224,1.1731268,-17130.215
-0.30612245,1.1731268,-16334.9
-0.28163266,1.1731268,-15555.547
-0.25714287,1.1731268,-14838.44
-0.23265307,1.1731268,-14217.934
-0.20816326,1.1731268,-13681.68
-0.18367347,1.1731268,-13185.943
-0.15918367,1.1731268,-12811.138
-0.13469388,1.1731268,-12659.559
-0.11020408,1.1731268,-12946.865
-0.08571429,1.1731268,-13627.065
-0.06122449,1.1731268,-14764.082
-0.036734693,1.1731268,-16491.771
-0.012244898,1.1731268,-18822.482
0.012244898,1.1731268,-21871.906
0.036734693,1.1731268,-25784.23
0.06122449,1.1731268,-30480.941
0.08571429,1.1731268,-36226.94
0.11020408,1.1731268,-43503.816
0.13469388,1.1731268,-52274.582
0.15918367,1.1731268,-62626.0
0.18367347,1.1731268,-74612.82
0.20816326,1.1731268,-88716.38
0.23265307,1.1731268,-104476.81
0.25714287,1.1731268,-122138.33
0.28163266,1.1731268,-142167.88
0.30612245,1.1731268,-164410.56
0.33061224,1.1731268,-189251.34
0.35510203,1.1731268,-215884.77
0.37959182,1.1731268,-244663.27
0.40408164,1.1731268,-275117.5
0.42857143,1.1731268,-307170.2
0.45306122,1.1731268,-342649.62
0.477551,1.1731268,-380000.03
0.5020408,1.1731268,-417942.7
0.5265306,1.1731268,-460561.88
0.5510204,1.1731268,-504473.53
0.5755102,1.1731268,-549353.94
0.6,1.1731268,-597346.94
-0.6,1.1962947,-26849.992
-0.5755102,1.1962947,-25719.5
-0.5510204,1.1962947,-24814.998
-0.5265306,1.1962947,-23925.031
-0.5020408,1.1962947,-23073.88
-0.477551,1.1962947,-22133.418
-0.45306122,1.1962947,-21210.139
-0.42857143,1.1962947,-20303.373
-0.40408164,1.1962947,-19357.102
-0.37959182,1.1962947,-18311.252
-0.35510203,1.1962947,-17258.105
-0.33061224,1.1962947,-16236.186
-0.30612245,1.1962947,-15264.867
-0.28163266,1.1962947,-14378.556
-0.25714287,1.1962947,-13485.365
-0.23265307,1.1962947,-12641.406
-0.20816326,1.1962947,-12006.717
-0.18367347,1.1962947,-11433.662
-0.15918367,1.1962947,-11152.518
-0.13469388,1.1962947,-11242.007
-0.11020408,1.1962947,-11654.756
-0.08571429,1.1962947,-12440.781
-0.06122449,1.1962947,-13591.35
-0.036734693,1.1962947,-15271.598
-0.012244898,1.1962947,-17642.795
0.012244898,1.1962947,-20639.527
0.036734693,1.1962947,-24567.873
0.06122449,1.1962947,-29444.045
0.08571429,1.1962947,-35533.766
0.11020408,1.1962947,-43058.207
0.13469388,1.1962947,-51863.45
0.15918367,1.1962947,-62101.617
0.18367347,1.1962947,-74100.48
0.20816326,1.1962947,-88061.23
0.23265307,1.1962947,-103872.805
0.25714287,1.1962947,-121461.65
0.28163266,1.1962947,-140600.66
0.30612245,1.1962947,-161506.89
0.33061224,1.1962947,-184243.47
0.35510203,1.1962947,-208480.12
0.37959182,1.1962947,-234496.83
0.40408164,1.1962947,-263911.94
0.42857143,1.1962947,-295687.34
0.45306122,1.1962947,-329426.34
0.477551,1.1962947,-365241.78
0.5020408,1.1962947,-403470.47
0.5265306,1.1962947,-442549.44
0.5510204,1.1962947,-486459.62
0.5755102,1.1962947,-532434.06
0.6,1.1962947,-580776.0
-0.6,1.2182889,-25960.809
-0.5755102,1.2182889,-25103.152
-0.5510204,1.2182889,-24244.34
-0.5265306,1.2182889,-23330.902
-0.5020408,1.2182889,-22401.332
-0.477551,1.2182889,-21518.215
-0.45306122,1.2182889,-20603.008
-0.42857143,1.2182889,-19552.77
-0.40408164,1.2182889,-18556.21
-0.37959182,1.2182889,-17566.162
-0.35510203,1.2182889,-16602.299
-0.33061224,1.2182889,-15585.019
-0.30612245,1.2182889,-14652.501
-0.28163266,1.2182889,-13748.381
-0.25714287,1.2182889,-12866.746
-0.23265307,1.2182889,-12023.693
-0.20816326,1.2182889,-11301.609
-0.18367347,1.2182889,-10763.399
-0.15918367,1.2182889,-10497.23
-0.13469388,1.2182889,-10539.29
-0.11020408,1.2182889,-10906.924
-0.08571429,1.2182889,-11591.865
-0.06122449,1.2182889,-12694.257
-0.036734693,1.2182889,-14296.697
-0.012244898,1.2182889,-16511.986
0.012244898,1.2182889,-19551.547
0.036734693,1.2182889,-23426.398
0.06122449,1.2182889,-28271.947
0.08571429,1.2182889,-34191.727
0.11020408,1.2182889,-41377.89
0.13469388,1.2182889,-49790.22
0.15918367,1.2182889,-59675.23
0.18367347,1.2182889,-71460.305
0.20816326,1.2182889,-85032.01
0.23265307,1.2182889,-100539.805
0.25714287,1.2182889,-117952.31
0.28163266,1.2182889,-136826.56
0.30612245,1.2182889,-158384.25
0.33061224,1.2182889,-181744.94
0.35510203,1.2182889,-206758.45
0.37959182,1.2182889,-233660.33
0.40408164,1.2182889,-262011.98
0.42857143,1.2182889,-292309.84
0.45306122,1.2182889,-324262.12
0.477551,1.2182889,-359400.56
0.5020408,1.2182889,-397370.62
0.5265306,1.2182889,-436836.88
0.5510204,1.2182889,-478164.88
0.5755102,1.2182889,-523830.66
0.6,1.2182889,-572344.8
-0.6,1.2392229,-25275.014
-0.5755102,1.2392229,-24295.586
-0.5510204,1.2392229,-23311.61
-0.5265306,1.2392229,-22313.479
-0.5020408,1.2392229,-21341.525
-0.477551,1.2392229,-20316.379
-0.45306122,1.2392229,-19396.264
-0.42857143,1.2392229,-18431.135
-0.40408164,1.2392229,-17448.63
-0.37959182,1.2392229,-16459.746
-0.35510203,1.2392229,-15433.816
-0.33061224,1.2392229,-14456.688
-0.30612245,1.2392229,-13531.504
-0.28163266,1.2392229,-12617.77
-0.25714287,1.2392229,-11730.13
-0.23265307,1.2392229,-10944.832
-0.20816326,1.2392229,-10399.562
-0.18367347,1.2392229,-9945.763
-0.15918367,1.2392229,-9679.785
-0.13469388,1.2392229,-9751.805
-0.11020408,1.2392229,-10075.445
-0.08571429,1.2392229,-10655.975
-0.06122449,1.2392229,-11659.783
-0.036734693,1.2392229,-13285.396
-0.012244898,1.2392229,-15471.006
0.012244898,1.2392229,-18285.574
0.036734693,1.2392229,-21802.297
0.06122449,1.2392229,-26190.49
0.08571429,1.2392229,-31719.445
0.11020408,1.2392229,-38331.965
0.13469388,1.2392229,-46218.34
0.15918367,1.2392229,-55802.7
0.18367347,1.2392229,-67572.14
0.20816326,1.2392229,-80933.875
0.23265307,1.2392229,-96177.836
0.25714287,1.2392229,-113608.43
0.28163266,1.2392229,-133198.75
0.30612245,1.2392229,-154918.64
0.33061224,1.2392229,-178591.45
0.35510203,1.2392229,-204506.62
0.37959182,1.2392229,-232338.77
0.40408164,1.2392229,-261717.62
0.42857143,1.2392229,-293091.22
0.45306122,1.2392229,-325805.56
0.477551,1.2392229,-359722.9
0.5020408,1.2392229,-395904.2
0.5265306,1.2392229,-436205.38
0.5510204,1.2392229,-479303.94
0.5755102,1.2392229,-524985.06
0.6,1.2392229,-573048.6
-0.6,1.2591939,-25045.342
-0.5755102,1.2591939,-23939.996
-0.5510204,1.2591939,-22954.672
-0.5265306,1.2591939,-21911.477
-0.5020408,1.2591939,-20719.816
-0.477551,1.2591939,-19629.46
-0.45306122,1.2591939,-18568.652
-0.42857143,1.2591939,-17483.242
-0.40408164,1.2591939,-16388.494
-0.37959182,1.2591939,-15333.672
-0.35510203,1.2591939,-14271.191
-0.33061224,1.2591939,-13348.646
-0.30612245,1.2591939,-12431.868
-0.28163266,1.2591939,-11612.805
-0.25714287,1.2591939,-10848.189
-0.23265307,1.2591939,-10086.568
-0.20816326,1.2591939,-9393.797
-0.18367347,1.2591939,-8909.124
-0.15918367,1.2591939,-8635.082
-0.13469388,1.2591939,-8629.91
-0.11020408,1.2591939,-8941.107
-0.08571429,1.2591939,-9558.732
-0.06122449,1.2591939,-10521.321
-0.036734693,1.2591939,-11979.599
-0.012244898,1.2591939,-13999.969
0.012244898,1.2591939,-16711.834
0.036734693,1.2591939,-20265.95
0.06122449,1.2591939,-24708.758
0.08571429,1.2591939,-30152.66
0.11020408,1.2591939,-36969.855
0.13469388,1.2591939,-45371.41
0.15918367,1.2591939,-55403.867
0.18367347,1.2591939,-67030.555
0.20816326,1.2591939,-79955.83
0.23265307,1.2591939,-94835.72
0.25714287,1.2591939,-111640.2
0.28163266,1.2591939,-130513.28
0.30612245,1.2591939,-151244.1
0.33061224,1.2591939,-173800.86
0.35510203,1.2591939,-198335.9
0.37959182,1.2591939,-224962.67
0.40408164,1.2591939,-253134.8
0.42857143,1.2591939,-282529.2
0.45306122,1.2591939,-313221.22
0.477551,1.2591939,-346438.7
0.5020408,1.2591939,-382127.9
0.5265306,1.2591939,-419778.8
0.5510204,1.2591939,-457982.2
0.5755102,1.2591939,-498799.06
0.6,1.2591939,-541697.94
-0.6,1.2782868,-24962.44
-0.5755102,1.2782868,-23723.205
-0.5510204,1.2782868,-22573.71
-0.5265306,1.2782868,-21421.168
-0.5020408,1.2782868,-20310.715
-0.477551,1.2782868,-19258.633
-0.45306122,1.2782868,-18168.531
-0.42857143,1.2782868,-17181.578
-0.40408164,1.2782868,-16193.719
-0.37959182,1.2782868,-15213.571
-0.35510203,1.2782868,-14215.11
-0.33061224,1.2782868,-13194.733
-0.30612245,1.2782868,-12225.879
-0.28163266,1.2782868,-11307.594
